Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Feature100,Feature101,Feature102,Feature103,Feature104,Feature105,Feature106,Feature107,Feature108,Feature109,Feature110,Feature111,Feature112,Feature113,Feature114,Feature115,Feature116,Feature117,Feature118,Feature119,Feature120,Feature121,Feature122,Feature123,Feature124,Feature125,Feature126,Feature127,Feature128,Feature129,Feature130,Feature131,Feature132,Feature133,Feature134,Feature135,Feature136,Feature137,Feature138,Feature139,Feature140,Feature141,Feature142,Feature143,Feature144,Feature145,Feature146,Feature147,Feature148,Feature149,Feature150,Feature151,Feature152,Feature153,Feature154,Feature155,Feature156,Feature157,Feature158,Feature159,Feature160,Feature161,Feature162,Feature163,Feature164,Feature165,Feature166,Feature167,Feature168,Feature169,Feature170,Feature171,Feature172,Feature173,Feature174,Feature175,Feature176,Feature177,Feature178,Feature179,Feature180,Feature181,Feature182,Feature183,Feature184,Feature185,Feature186,Feature187,Feature188,class
12.903226,16.129032,0,0,0,6.451613,6.451613,3.225806,12.903226,6.451613,0,9.677419,0,0,16.129032,0,0,6.451613,0,3.225806,38.709677,29.032258,32.258065,6.666667,20,13.333333,3.225806,45.16129,54.83871,77.419355,100,12.903226,16.129032,25.806452,32.258065,64.516129,6.451613,22.580645,41.935484,83.870968,93.548387,35.483871,25.806452,38.709677,16.666667,23.333333,20,16.129032,19.354839,29.032258,61.290323,93.548387,6.451613,9.677419,41.935484,83.870968,100,3.225806,32.258065,51.612903,74.193548,96.774194,35.483871,19.354839,45.16129,10,23.333333,10,6.451613,22.580645,41.935484,83.870968,93.548387,16.129032,16.129032,25.806452,29.032258,61.290323,3.225806,12.903226,51.612903,74.193548,100,19.354839,41.935484,38.709677,6.666667,13.333333,30,16.129032,16.129032,25.806452,29.032258,61.290323,6.451613,22.580645,41.935484,83.870968,100,3.225806,32.258065,51.612903,74.193548,96.774194,29.032258,70.967742,0,23.333333,0,0,3.225806,45.16129,51.612903,74.193548,96.774194,6.451613,19.354839,38.709677,67.741935,100,0,0,0,0,0,51.612903,29.032258,19.354839,33.333333,10,23.333333,9.677419,19.354839,48.387097,70.967742,100,3.225806,22.580645,45.16129,67.741935,93.548387,6.451613,6.451613,41.935484,64.516129,90.322581,54.83871,29.032258,16.129032,23.333333,13.333333,10,3.225806,19.354839,38.709677,51.612903,96.774194,6.451613,22.580645,64.516129,83.870968,93.548387,9.677419,9.677419,58.064516,61.290323,100,51.612903,38.709677,9.677419,23.333333,16.666667,3.333333,6.451613,22.580645,38.709677,67.741935,93.548387,3.225806,45.16129,54.83871,77.419355,100,12.903226,0,12.903226,32.258065,64.516129,positive
0,3.571429,0,0,0,10.714286,7.142857,0,21.428571,7.142857,0,0,7.142857,3.571429,14.285714,7.142857,3.571429,3.571429,7.142857,3.571429,39.285714,39.285714,21.428571,25.925926,3.703704,33.333333,39.285714,50,64.285714,82.142857,92.857143,7.142857,14.285714,28.571429,60.714286,96.428571,3.571429,3.571429,21.428571,32.142857,100,32.142857,14.285714,53.571429,18.518519,18.518519,0,7.142857,14.285714,28.571429,35.714286,78.571429,3.571429,3.571429,10.714286,39.285714,42.857143,21.428571,50,64.285714,85.714286,100,25,28.571429,46.428571,29.62963,7.407407,14.814815,3.571429,3.571429,21.428571,32.142857,100,7.142857,14.285714,28.571429,46.428571,78.571429,39.285714,53.571429,64.285714,82.142857,96.428571,21.428571,25,53.571429,33.333333,11.111111,7.407407,7.142857,7.142857,28.571429,35.714286,78.571429,3.571429,3.571429,17.857143,39.285714,75,21.428571,50,64.285714,85.714286,100,35.714286,64.285714,0,22.222222,0,0,50,53.571429,67.857143,82.142857,92.857143,3.571429,14.285714,32.142857,46.428571,100,0,0,0,0,0,35.714286,35.714286,28.571429,18.518519,18.518519,18.518519,28.571429,35.714286,60.714286,67.857143,96.428571,7.142857,14.285714,53.571429,78.571429,89.285714,3.571429,10.714286,21.428571,42.857143,100,53.571429,21.428571,25,7.407407,18.518519,18.518519,3.571429,42.857143,60.714286,82.142857,96.428571,7.142857,7.142857,21.428571,25,100,14.285714,14.285714,28.571429,46.428571,78.571429,32.142857,39.285714,28.571429,11.111111,25.925926,18.518519,3.571429,10.714286,28.571429,35.714286,100,39.285714,50,64.285714,82.142857,92.857143,7.142857,14.285714,25,75,96.428571,positive
20,0,5,0,5,5,0,5,15,10,0,0,5,0,5,0,5,10,5,5,25,40,35,21.052632,21.052632,36.842105,10,10,45,50,95,15,20,35,70,100,5,5,40,75,90,40,25,35,26.315789,31.578947,15.789474,10,15,35,70,100,40,40,55,75,90,5,5,25,50,95,40,35,25,36.842105,21.052632,21.052632,5,20,40,75,90,15,15,35,70,100,10,10,45,50,95,35,30,35,31.578947,26.315789,21.052632,10,10,35,70,100,15,15,55,75,90,5,5,25,50,95,20,75,5,31.578947,0,10.526316,45,45,50,65,95,5,20,40,75,100,10,0,0,0,10,35,20,45,5.263158,42.105263,15.789474,10,10,35,85,100,45,45,50,60,65,5,15,25,55,90,50,35,15,42.105263,5.263158,15.789474,30,45,65,80,100,5,5,25,60,90,10,0,10,15,35,60,25,15,31.578947,10.526316,10.526316,5,30,55,80,100,10,10,45,50,95,15,0,15,20,60,positive
20,0,0,0,6.666667,6.666667,0,13.333333,26.666667,6.666667,0,0,6.666667,0,0,0,0,13.333333,0,0,26.666667,33.333333,40,14.285714,28.571429,35.714286,20,20,26.666667,66.666667,93.333333,6.666667,6.666667,40,46.666667,86.666667,13.333333,13.333333,53.333333,73.333333,100,33.333333,33.333333,33.333333,28.571429,21.428571,21.428571,6.666667,6.666667,40,46.666667,86.666667,13.333333,13.333333,53.333333,73.333333,100,20,20,26.666667,33.333333,93.333333,40,33.333333,26.666667,35.714286,28.571429,14.285714,13.333333,13.333333,53.333333,73.333333,100,6.666667,6.666667,40,46.666667,86.666667,20,20,26.666667,66.666667,93.333333,26.666667,40,33.333333,28.571429,21.428571,21.428571,6.666667,6.666667,40,60,86.666667,13.333333,13.333333,53.333333,73.333333,100,20,20,26.666667,33.333333,93.333333,26.666667,73.333333,0,42.857143,0,0,20,20,26.666667,66.666667,93.333333,6.666667,13.333333,46.666667,73.333333,100,0,0,0,0,0,26.666667,26.666667,46.666667,14.285714,35.714286,28.571429,6.666667,6.666667,40,60,86.666667,20,20,26.666667,66.666667,93.333333,13.333333,13.333333,46.666667,73.333333,100,53.333333,33.333333,13.333333,42.857143,7.142857,7.142857,6.666667,20,53.333333,66.666667,93.333333,13.333333,13.333333,33.333333,73.333333,100,40,0,40,40,46.666667,66.666667,26.666667,6.666667,42.857143,14.285714,0,6.666667,13.333333,53.333333,73.333333,100,20,20,26.666667,66.666667,93.333333,46.666667,0,0,0,46.666667,positive
10.526316,0,0,5.263158,5.263158,5.263158,0,5.263158,5.263158,15.789474,0,0,0,0,10.526316,5.263158,0,5.263158,21.052632,5.263158,21.052632,26.315789,52.631579,22.222222,11.111111,27.777778,26.315789,26.315789,36.842105,42.105263,78.947368,5.263158,5.263158,21.052632,31.578947,94.736842,10.526316,15.789474,57.894737,68.421053,100,21.052632,31.578947,47.368421,16.666667,27.777778,44.444444,21.052632,21.052632,31.578947,73.684211,94.736842,10.526316,10.526316,47.368421,57.894737,100,5.263158,15.789474,42.105263,63.157895,84.210526,57.894737,21.052632,21.052632,22.222222,11.111111,22.222222,5.263158,10.526316,52.631579,68.421053,100,21.052632,21.052632,31.578947,73.684211,94.736842,26.315789,26.315789,36.842105,42.105263,78.947368,21.052632,31.578947,47.368421,16.666667,27.777778,44.444444,21.052632,21.052632,31.578947,73.684211,94.736842,10.526316,10.526316,47.368421,57.894737,100,5.263158,15.789474,42.105263,63.157895,84.210526,15.789474,78.947368,5.263158,27.777778,5.555556,5.555556,26.315789,0,26.315789,42.105263,78.947368,5.263158,15.789474,52.631579,73.684211,100,36.842105,0,0,0,36.842105,26.315789,15.789474,57.894737,16.666667,16.666667,16.666667,21.052632,21.052632,26.315789,31.578947,73.684211,36.842105,0,36.842105,78.947368,94.736842,5.263158,10.526316,52.631579,68.421053,100,47.368421,42.105263,10.526316,33.333333,16.666667,5.555556,21.052632,26.315789,36.842105,57.894737,100,5.263158,10.526316,47.368421,63.157895,84.210526,73.684211,0,73.684211,73.684211,94.736842,68.421053,21.052632,10.526316,33.333333,16.666667,0,10.526316,21.052632,52.631579,68.421053,100,26.315789,26.315789,36.842105,42.105263,78.947368,5.263158,0,5.263158,5.263158,94.736842,positive
15.384615,0,0,0,7.692308,7.692308,0,15.384615,30.769231,15.384615,0,0,0,0,0,7.692308,0,0,0,0,30.769231,30.769231,38.461538,25,25,25,30.769231,30.769231,61.538462,84.615385,92.307692,7.692308,7.692308,53.846154,76.923077,100,15.384615,15.384615,23.076923,38.461538,69.230769,30.769231,30.769231,38.461538,25,25,25,7.692308,7.692308,53.846154,76.923077,100,15.384615,15.384615,38.461538,46.153846,69.230769,23.076923,23.076923,30.769231,61.538462,92.307692,38.461538,30.769231,30.769231,25,25,25,15.384615,15.384615,23.076923,38.461538,69.230769,7.692308,7.692308,53.846154,76.923077,100,30.769231,30.769231,61.538462,84.615385,92.307692,30.769231,30.769231,38.461538,25,25,25,7.692308,7.692308,53.846154,76.923077,100,15.384615,15.384615,38.461538,46.153846,69.230769,23.076923,23.076923,30.769231,61.538462,92.307692,30.769231,69.230769,0,50,0,0,30.769231,30.769231,61.538462,84.615385,92.307692,7.692308,15.384615,38.461538,53.846154,100,0,0,0,0,0,23.076923,38.461538,38.461538,16.666667,16.666667,33.333333,7.692308,0,7.692308,76.923077,100,30.769231,30.769231,53.846154,61.538462,92.307692,15.384615,15.384615,23.076923,38.461538,69.230769,61.538462,23.076923,15.384615,25,16.666667,8.333333,15.384615,30.769231,69.230769,84.615385,100,23.076923,0,23.076923,38.461538,46.153846,7.692308,0,7.692308,7.692308,53.846154,61.538462,30.769231,7.692308,41.666667,8.333333,8.333333,7.692308,15.384615,38.461538,69.230769,100,30.769231,30.769231,61.538462,84.615385,92.307692,53.846154,0,0,0,53.846154,positive
5.882353,0,0,0,17.647059,5.882353,0,17.647059,5.882353,23.529412,0,0,11.764706,0,0,11.764706,0,0,0,0,5.882353,35.294118,58.823529,6.25,6.25,43.75,88.235294,0,0,0,88.235294,17.647059,17.647059,47.058824,58.823529,82.352941,5.882353,11.764706,35.294118,70.588235,100,35.294118,41.176471,23.529412,31.25,18.75,12.5,17.647059,17.647059,47.058824,58.823529,82.352941,23.529412,23.529412,52.941176,76.470588,100,5.882353,5.882353,11.764706,35.294118,88.235294,58.823529,35.294118,5.882353,43.75,6.25,6.25,5.882353,11.764706,35.294118,70.588235,100,17.647059,17.647059,47.058824,58.823529,82.352941,88.235294,0,0,0,88.235294,23.529412,52.941176,23.529412,18.75,6.25,25,41.176471,41.176471,47.058824,58.823529,64.705882,17.647059,23.529412,52.941176,76.470588,100,5.882353,5.882353,11.764706,35.294118,88.235294,5.882353,94.117647,0,12.5,0,0,88.235294,0,0,0,88.235294,5.882353,23.529412,47.058824,70.588235,100,0,0,0,0,0,11.764706,17.647059,70.588235,0,12.5,25,41.176471,0,41.176471,41.176471,47.058824,58.823529,0,58.823529,64.705882,88.235294,5.882353,17.647059,35.294118,76.470588,100,35.294118,35.294118,29.411765,25,31.25,18.75,23.529412,23.529412,52.941176,76.470588,100,5.882353,5.882353,29.411765,35.294118,94.117647,17.647059,17.647059,41.176471,58.823529,82.352941,70.588235,5.882353,23.529412,6.25,31.25,6.25,5.882353,23.529412,41.176471,70.588235,100,88.235294,0,0,0,88.235294,17.647059,17.647059,58.823529,64.705882,82.352941,positive
7.692308,0,7.692308,0,7.692308,7.692308,0,0,7.692308,7.692308,0,0,0,0,23.076923,0,0,0,30.769231,0,38.461538,15.384615,46.153846,0,41.666667,25,30.769231,30.769231,38.461538,76.923077,100,7.692308,0,7.692308,7.692308,53.846154,15.384615,15.384615,46.153846,61.538462,84.615385,23.076923,7.692308,69.230769,8.333333,33.333333,8.333333,7.692308,0,7.692308,30.769231,53.846154,15.384615,0,0,0,15.384615,23.076923,38.461538,61.538462,76.923077,100,46.153846,15.384615,38.461538,25,41.666667,0,15.384615,15.384615,46.153846,61.538462,84.615385,7.692308,0,7.692308,7.692308,53.846154,30.769231,30.769231,38.461538,76.923077,100,23.076923,7.692308,69.230769,8.333333,33.333333,8.333333,7.692308,0,7.692308,30.769231,53.846154,15.384615,0,0,0,15.384615,23.076923,38.461538,61.538462,76.923077,100,30.769231,61.538462,7.692308,33.333333,8.333333,8.333333,38.461538,38.461538,76.923077,92.307692,100,7.692308,15.384615,46.153846,61.538462,84.615385,30.769231,0,0,0,30.769231,46.153846,7.692308,46.153846,8.333333,58.333333,8.333333,7.692308,7.692308,53.846154,76.923077,100,38.461538,0,0,0,38.461538,15.384615,15.384615,46.153846,61.538462,84.615385,46.153846,38.461538,15.384615,58.333333,16.666667,8.333333,15.384615,15.384615,53.846154,76.923077,100,23.076923,23.076923,46.153846,61.538462,84.615385,7.692308,0,7.692308,7.692308,30.769231,61.538462,38.461538,0,41.666667,0,0,7.692308,15.384615,46.153846,61.538462,84.615385,30.769231,30.769231,38.461538,76.923077,100,0,0,0,0,0,positive
0,0,0,0,10,5,15,5,10,10,0,0,5,0,15,0,0,10,10,5,25,30,45,5.263158,31.578947,26.315789,5,5,20,25,75,35,35,50,55,95,10,15,45,70,100,10,25,65,5.263158,15.789474,42.105263,40,0,40,40,90,10,10,45,65,100,5,20,35,60,95,50,10,40,10.526316,47.368421,10.526316,10,15,50,70,100,40,0,40,40,90,5,20,35,60,95,5,30,65,0,10.526316,47.368421,90,0,0,0,90,10,10,45,65,100,5,20,35,60,95,25,75,0,36.842105,0,0,5,5,20,25,75,10,30,50,80,100,0,0,0,0,0,35,10,55,0,47.368421,10.526316,5,5,55,75,95,20,0,20,20,25,10,15,45,70,100,50,40,10,42.105263,10.526316,10.526316,5,20,55,75,100,10,15,45,65,85,40,0,40,40,90,50,25,25,31.578947,26.315789,5.263158,10,15,65,80,100,5,5,20,25,75,35,35,40,50,95,positive
0,0,0,0,0,0,0,0,0,0,0,0,5,0,75,0,0,0,15,5,75,10,15,21.052632,26.315789,0,10,20,50,75,100,25,0,25,25,90,5,0,5,40,70,5,0,95,0,10.526316,0,90,0,0,0,90,0,0,0,0,0,5,20,45,70,100,20,5,75,0,36.842105,10.526316,5,5,25,40,70,90,0,0,0,90,10,20,50,75,100,0,5,95,0,0,10.526316,0,0,0,0,0,90,0,0,0,90,5,20,45,70,100,75,25,0,47.368421,0,0,10,20,50,75,100,5,5,25,40,90,0,0,0,0,0,75,0,25,0,47.368421,0,10,20,50,75,100,0,0,0,0,0,5,5,25,40,90,75,20,5,36.842105,10.526316,0,10,20,50,75,100,5,5,25,40,70,90,0,0,0,90,15,75,10,26.315789,0,21.052632,5,0,5,40,70,10,20,50,75,100,25,0,25,25,90,positive
